"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Stephen Gostkowski","K","NE","CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","Blair Walsh","K","SEA","IND","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","Mason Crosby","K","GB","CHI","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","Graham Gano","K","CAR","@NE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","Dan Bailey","K","DAL","LA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","Matt Bryant","K","ATL","BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","Matt Prater","K","DET","@MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","Justin Tucker","K","BAL","PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","Kai Forbath","K","MIN","DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","Chris Boswell","K","PIT","@BAL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","Giorgio Tavecchio","K","OAK","@DEN","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","Jake Elliott","K","PHI","@LAC","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","Wil Lutz","K","NO","@MIA","Sun 9:30 AM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","Phil Dawson","K","ARI","SF","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","Brandon McManus","K","DEN","OAK","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","Younghoe Koo","K","LAC","PHI","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","Nick Folk","K","TB","NYG","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Adam Vinatieri","K","IND","@SEA","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","Ryan Succop","K","TEN","@HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","Dustin Hopkins","K","WAS","@KC","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"